__label__like , 逃狱 好看 片子
__label__nlike , 好评 不差
__label__like , 所有人 推荐 这部 电影 孩子 电影
__label__like , 电影版 越狱 过瘾
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 
__label__like , 喜欢 聪明 内敛 男人
__label__like , 结局 败笔
__label__nlike , 一般般
__label__nlike , 名字
__label__like , 希望 人觉 自由 东西 受益 终生 神作 9.5
__label__like , 
__label__like , 希望 故事 给予 美好 那片 蓝色 大海 真的 令人感动 故事
__label__like , Hey guess find
__label__nlike , 解救
__label__like , Hope
__label__nlike , 传闻中 好看
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 自由 高于 生命
__label__like , 第一
__label__like , 精神 胜利
__label__like , 经典
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 年代 年代 黑暗
__label__like , 百看不厌 片子
__label__like , 越狱 始祖 音乐 监狱 想起 禁锢 压抑 思想 解放 肖申克 救赎 圣经 故事 救赎
__label__nlike , hope good thing
__label__nlike , 信念
__label__nlike , 
__label__like , 当初 喜欢 每次 喜欢
__label__like , 希望 美好 也许 世间 美好
__label__nlike , 希望 事情 希望
__label__nlike , 一般般
__label__nlike , 希望 事情
__label__like , 好看
__label__like , 人性
__label__nlike , 看过 几个 演员 厉害
__label__like , 经典
__label__nlike , 国产片 红歌
__label__like , 上学时 好多遍
__label__nlike , 地方 落下 泪来
__label__nlike , 一般般
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 好片 不用说
__label__like , 一种 金色 羽毛 社么 看吧
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 希望 我能 逃脱出 牢笼 回到 向往 大海 慢慢 修理 自由 之船
__label__like , 好片 远比 这部 更好 整天 这部 电影 稀奇 不行 同年 电影 喜欢 阿甘
__label__like , 经典 经典
__label__like , 这部 片子 真的 连写 评论 勇气 看吧
__label__like , 忍辱负重 自由
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 确实 神片 有时候 环境 环境 奴隶 像是 玻璃缸 游动 金鱼
__label__like , 
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 胜利 最终 墙上
__label__nlike , 
__label__nlike , 希望 事情 希望
__label__like , 那段
__label__nlike , 希望 东西
__label__like , 拾遗
__label__like , 肮脏 对面 天堂
__label__nlike , 希望 东西
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 自由 力量
__label__like , 鸟儿 笼子 羽毛 太漂亮 飞翔 罪恶 定会 感到 寂寞
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__nlike , 好评 不差
__label__like , 这是 生命 演绎
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 希望 美好 东西 东西 消失
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 希望 事情 希望
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 好看
__label__like , 希望 一种 可怕 东西
__label__nlike , 自由 高于 生命
__label__nlike , 喜欢 摩根 弗里
__label__like , 造梦 给人以 希望 光明 令人 感受 一种 震撼
__label__like , 希望
__label__nlike , 希望 东西
__label__like , 奇怪 媒体 吹嘘 懒得 看兔 收藏
__label__like , Get spoon
__label__like , 印象 深刻 老人 上吊 人有 真的 信念 习惯 环境 沉溺 环境 脱离 悲剧 人生
__label__nlike , 确实 经典
__label__like , 动力
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , matter wrong happy ending
__label__like , 配不上 imdb No.1 ....
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 不多
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 绝望 希望
__label__nlike , 好评 不差
__label__like , 学校 感慨 良多 电影
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 自由
__label__nlike , 男人 触动
__label__like , 救赎
__label__nlike , 
__label__like , 超级 喜欢 超级 喜欢 不看 人生 圆满
__label__nlike , 看过 几个 演员 厉害
__label__like , 一部 打六星 片子
__label__nlike , hope good thing
__label__like , 希望 现实
__label__like , 窃以为 电影 本尊 看过 经典 电影 无出其右 蓝光 收藏
__label__like , 没话 很棒
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 希望 事情
__label__like , 五百米 自由
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 好片 传得 太神
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , 男人 必看 十部 电影 经典
__label__nlike , 传闻中 好看
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 喜欢 救赎
__label__nlike , 传闻中 好看
__label__like , 越狱 形式 精神 始终 自由 这才 Morgan Freeman 懂得 自由 真谛 时比安迪 越狱 更令 动容
__label__nlike , 男人 触动
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 感性 面对 残酷 环境 本能 便是 奋力 抗争 环境恶劣 程度 抗争 之心 慢慢 消磨 殆尽 行尸走肉 希望 抗争
__label__like , 心中 希望 信念 成功
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , No.1 没什么 评价
__label__like , 
__label__like , toptoptop 希望 自由 之源
__label__like , 执着 信念 雷雨交加 晚上 自由 呼唤
__label__like , 最最 电影
__label__like , 说不清 感动
